Urdu,Roman_Urdu
کب نکلتا ہے اب جگر سے تیر,kab nikalt hai ab jigar se tiir
ارے او آسماں والے بتا اس میں برا کیا ہے,are o sm vaale bat is me bur ky hai
سب رنگ میں اس گل کی مرے شان ہے موجود,sab rag me us gul k mire shaan hai maujd
شان دیکھی نہیں گر تو نے چمن میں اس کی,shaan dekh nah gar t ne chaman me us k
کیوں رہے میری دعا منت کش بال ملک,kyuu rahe mer du minnatkasheblemalak
کرتے ہیں محبت تو گزرتا ہے گماں اور,karte hai mohabbat to guzart hai gum aur
دل کو کیا کیا سکون ہوتا ہے,dil ko ky ky sukn hot hai
تو آب جو اسے سمجھا اگر تو چارہ نہیں,t aabj ise samjh agar to chra nah
کچھ بہ مشکل دم سحر آئے,kuchh bamushkil damesahar aae
دیکھیں ہے کون کون ضرورت نہیں رہی,dekhe hai kaun kaun zarrat nah rah
ترے کہنے کا ہے مجھے یقیں میں ترے ڈرانے سے ڈر گیا,tire kahne k hai mujhe yaq mai tire darne se dar gay
پانی کو اب تو سر سے گزر جانا چاہیے,paan ko ab to sar se guzar jaan chhiye
ہمارا ذکر کیا ہم کو تو ہوش آیا محبت میں,hamr zikr ky ham ko to hosh aay mohabbat me
اس کا ہے جو بھی کچھ ہے مرا اور میں مگر,us k hai jo bh kuchh hai mir aur mai magar
تو یوں گالیاں غیر کو شوق سے دے,t yuu gliy hair ko shauq se de
بہت دیر کی مہرباں آتے آتے,bahut der k mehrb aate aate
کیا بتاؤں کہ مر نہیں پاتا,ky bat ki mar nah paat
عمر بے سود کٹ رہی ہے فیضؔ,umr besd kat rah hai faiz
میں عمر بھر چلا ہوں کسی روشنی کے ساتھ,mai umr bhar chal huu kis raushn ke saath
بقدر ظرف ہے ساقی خمار تشنہ کامی بھی,baqadrezarf hai saaq humretishnakm bh
لا پھر اک بار وہی بادہ و جام اے ساقی,l phir ik baar vah baada o jaam ai saaq
قیس ہو کوہ کن ہو یا حالیؔ,qais ho kohkan ho y hl
سمجھ کے کرتے ہیں بازار میں وہ پرسش حال,samajh ke karte hai bzr me vo pursishehl
وگرنہ یوں تو نہ پانا تھا کچھ نہ کھوتا تھا,vagarna yuu to na paan th kuchh na khot th
عبارت دیکھ کر جس طرح معنی جان لیتے ہیں,ibrat dekh kar jis tarah maan jaan lete hai
یہ لوگ تذکرے کرتے ہیں اپنے لوگوں کے,ye log tazkire karte hai apne logo ke
آہ کہ کھویا گیا تجھ سے فقیری کا راز,aah ki khoy gay tujh se faqr k raaz
معاف کرتے تھے جو لوگ کل زمینوں کو,muaaf karte the jo log kal zamno ko
مجھے تجھ رشک لیلی کی قسم ہے,mujhe tujh rashkelail k qasam hai
اک چھیڑ ہے وگرنہ مراد امتحاں نہیں,ik chhe hai vagarna murd imtih nah
رات بھر باتیں کرتے ہیں تارے,raat bhar bte karte hai taare
چاند کی نبض دیکھنا اٹھ کر,chd k nabz dekhn uth kar
جسے کوئی نسبت خاص ہو ترے حسن برق خرام سے,jise ko nisbatehs ho tire husnebarqhirm se
آ گئی آپ کو مسیحائی,aa ga aap ko mash
کھلتی نہیں گرہ یہ کسو کی دعا سے آج,khult nah girah ye kas k du se aaj
آپ تو قتل عام کر رہے ہیں,aap to qatlem kar rahe hai
چھوڑ کر جس کو گئے تھے آپ کوئی اور تھا,chho kar jis ko gae the aap ko aur th
مری نگاہ میں وہ رند ہی نہیں ساقی,mir nigh me vo rid h nah saaq
جس طرح تازہ لہو چمکے نئی تلوار پر,jis tarah taaza lah chamke na talvr par
کوئی فتنہ تا قیامت نہ پھر آشکار ہوتا,ko fitna tqaymat na phir shkr hot
مڑ کے دیکھا تو میں نے کب دیکھا,mu ke dekh to mai ne kab dekh
عاشق کی برات ہو گئی ہے,shiq k bart ho ga hai
تھا خواب میں خیال کو تجھ سے معاملہ,th hvb me hayl ko tujh se mumla
ہوا ظاہر خط روئے نگار آہستہ آہستہ,hu zhir haterenigr histahista
گہرے سمندروں سے جزیرے نکال کر,gahre samundaro se jazre nikl kar
جانے نہ دوں گا آپ کو بے فیصلہ ہوئے,jaane na dg aap ko befaisla hue
میں اس کی دسترس میں ہوں مگر وہ,mai us k dastaras me huu magar vo
اب تو نباہنا ہے جب اک کام کر پڑے,ab to nibhn hai jab ik kaam kar pae
وہ جو تھی خواہش نجات گئی,vo jo th hvhishenajt ga
نہ وہ عشق میں رہیں گرمیاں نہ وہ حسن میں رہیں شوخیاں,na vo ishq me rah garmiy na vo husn me rah shohiy
سلب بینائی کے احکام ملے ہیں جو کبھی,salbebn ke ahkm mile hai jo kabh
آنکھ ہے ترک زلف ہے صیاد,aakh hai tarkezulf hai sayyd
گلا گریباں نے گھونٹ ڈالا جنوں کی شورش سے تنگ ہو کر,gal gareb ne ght daal jun k shorish se tag ho kar
دشنام تو نہیں ہے یہ اکرام ہی تو ہے,dushnm to nah hai ye ikrm h to hai
اس کوں خطاب غیب سوں زریں رقم ہوا,us kuu hitb haib suu zarrraqam hu
کہ چشم تنگ شاید کثرت نظارہ سے وا ہو,ki chashmetag shyad kasratenazzra se v ho
رستہ بھی ڈھونڈ خضر کا سودا بھی چھوڑ دے,rasta bh dhd hizr k saud bh chho de
اس گلے کو گلہ نہیں کہتے,us gile ko gila nah kahte
بسر ہو سکے تو بسر کیجیے,basar ho sake to basar kjiye
شکوہ عیاری کا یاروں سے بجا ہے اے ظفرؔ,shikva ayyr k yro se baj hai ai zafar
نہ کہہ کہ گریہ بہ مقدار حسرت دل ہے,na kah ki girya bamiqdrehasratedil hai
کم نہیں نازش ہم نامی چشم خوباں,kam nah nzishehamnmiechashmehb
درد کہتا ہے یہ گھبرا کے شب فرقت میں,dard kaht hai ye ghabr ke shabefurqat me
ملاقاتی ترا گویا بھری محفل سے ملتا ہے,mulqt tir goy bhar mahfil se milt hai
سیماب پشت گرمی آئینہ دے ہے ہم,smbpusht garmiena de hai ham
بے خبر سب سے ہیں اس دم کی خبرداری میں ہم,behabar sab se hai is dam k habardr me ham
رہنا تھا کوئی ربط شجر کا بھی ثمر سے,rahn th ko rabt shajar k bh samar se
اس پہ بھی کچھ نہ پوچھو کیا کچھ ہوں,us pe bh kuchh na pchho ky kuchh huu
سر میں اگر وہ شوق شہادت نہیں رہا,sar me agar vo shauqeshahdat nah rah
کسی کو ڈھونڈتے ہیں ہم کسی میں,kis ko dhdte hai ham kis me
مشتاق تجھ سخن کا عرب تا عجم ہوا,mushtq tujh suhan k arab t ajam hu
شوق عناں گسیختہ دریا کہیں جسے,shauqein gusehta dariy kahe jise
آئینہ بند خلوت و محفل ہے آئنہ,naband halvatomahfil hai aaina
کہ جن میں شعلے تو شعلے دھواں نہیں ملتا,ki jin me shole to shole dhu nah milt
کوئی ٹھہرا ہو جو لوگوں کے مقابل تو بتاؤ,ko thahr ho jo logo ke muqbil to bato
موت کیا ہے بھول جانا چاہیئے,maut ky hai bhuul jaan chhiye
جان دے دے چل کے در پر یار کے,jaan de de chal ke dar par yaar ke
دکھا کے جنبش لب ہی تمام کر ہم کو,dikh ke jumbishelab h tamm kar ham ko
افسوس یہ کافر کو مسلماں نہ کریں گے,afsos ye kfir ko musalm na karege
تو شاہ حسن میں تیرا گدا ہوں,t shhehusn mai ter gad huu
کون سا طائر گم گشتہ اسے یاد آیا,kaun s tiregumgashta use yaad aay
پر غرور و پر تکبر پر جفا و پر ستم,purhurr o purtakabbur purjaf o pursitam
خمار موسم خوشبو حد چمن میں کھلا,humremausamehushb hadechaman me khul
وہ بھی کیا لوگ ہیں محسنؔ جو وفا کی خاطر,vo bh ky log hai mohsin jo vaf k htir
اس بت کدے میں معنی کا کس سے کریں سوال,is butkade me maan k kis se kare savl
چشم قاتل مری دشمن تھی ہمیشہ لیکن,chashmeqtil mir dushman th hamesha lekin
کہ ڈال ہی دیا دنیا کا بار ہم پر بھی,ki daal h diy duniy k baar ham par bh
وہ ہواؤں کی طرح خانہ بجاں پھرتا ہے,vo havo k tarah hnabaj phirt hai
یہ شامت آئی کہ اس کی گلی میں دل نے کہا,ye shmat aa ki us k gal me dil ne kah
جاں مطرب ترانۂ ہل من مزید ہے,jaa mutribetarnaehalmimmazd hai
کبھی حیات کبھی مے حرام ہوتی رہی,kabh hayt kabh mai harm hot rah
اپنی مشق ستم سے ہاتھ نہ کھینچ,apn mashqesitam se haath na khch
رخ سے گل کو مول لیا قامت سے سرو غلام کیا,ruh se gul ko mol liy qmat se sarv hulm kiy
پیڑ کو دعا دے کر کٹ گئی بہاروں سے,pe ko du de kar kat ga bahro se
جو سخت بات سنے دل تو ٹوٹ جاتا ہے,jo saht baat sune dil to tuut jaat hai
میں اب کبھی تری آواز سن نہ پاؤں گی,mai ab kabh tir vz sun na pg
مگر رہ گئی ہم عناں آتے آتے,magar rah ga hamin aate aate
آتشیں پا ہوں گداز وحشت زنداں نہ پوچھ,tishp huu gudzevahshatezind na pchh
لاؤ یاروں کے یار ہم بھی ہیں,laao yro ke yaar ham bh hai
انتہا عشق کی خدا جانے,intih ishq k hud jaane
ٹھوکر کبھی نہ کھائے راہ فروتنی میں,thokar kabh na khaae rhefarotan me
حیف ہے خانماں خراب دل میں کسی کے گھیر نہیں,haif hai hnumharb dil me kis ke gher nah
آؤ اب ہم اس کے بھی ٹکڑے کر لیں,aao ab ham is ke bh tuke kar le
اس ادا کا تری جواب نہیں,is ad k tir javb nah
بیگانگی پر اس کی زمانے سے احتراز,begnag par us k zamne se ehtirz
ہنس دیا دیکھ کے اکثر گل خنداں کی طرف,has diy dekh ke aksar gulehand k taraf
کب تک اسے سینچو گے تمنائے ثمر میں,kab tak ise schoge tamannesamar me
لوگوں کو سر دار نظر آ تو گئے ہم,logo ko saredr nazar aa to gae ham
شوق میں اس کے مزا درد میں اس کے لذت,shauq me us ke maz dard me us ke lazzat
کچھ کمی اپنی وفاؤں میں بھی تھی,kuchh kam apn vafo me bh th
یقین کا اگر کوئی بھی سلسلہ نہیں رہا,yaqn k agar ko bh silsila nah rah
ہر رنگ میں جلا اسدؔ فتنہ انتظار,har rag me jal asadefitnaintizr
کیا پوچھے ہے بر خود غلطیہائے عزیزاں,ky pchhe hai barhud halatheazz
تمنا کب ہوئی ہے کم ہماری,tamann kab hu hai kam hamr
دل لگی کیجئے رقیبوں سے,dillag kjiye raqbo se
میں نے بھی ان کی وہ خبر لی ہے,mai ne bh un k vo habar l hai
پردۂ شرم میں صد برق تبسم کے نثار,pardaesharm me sadbarqetabassum ke nisr
سب کچھ کہا مگر نہ کھلے راز داں سے ہم,sab kuchh kah magar na khule rzd se ham
وقت کو کیسے ہم نشیں کہتے,vaqt ko kaise hamnash kahte
شب جو ہم سے ہوا معاف کرو,shab jo ham se hu muaaf karo
اے ولیؔ کیوں سن سکے ناصح کی بات,ai val kyuu sun sake nseh k baat
مجھ میں تجھ میں تو کوئی فرق نہیں,mujh me tujh me to ko farq nah
اپنے دل کو فگار کر بیٹھے,apne dil ko figr kar baithe
جو مشکل اب ہے یا رب پھر وہی مشکل نہ بن جائے,jo mushkil ab hai y rab phir vah mushkil na ban jaae
وہی انداز ہے ظالم کا زمانے والا,vah andz hai zlim k zamne vaal
ہے شاخ گل میں پنجۂ خوباں بجائے گل,hai shhegul me panjaehb baje gul
معنی حسن و معنی خوبی,maaniehusn o maaniehb
جسے نہ حسن سے مطلب نہ عشق سے سروکار,jise na husn se matlab na ishq se sarokr
تری ہتھیلی پہ کس نے لکھا ہے قتل میرا,tir hathel pe kis ne likkh hai qatl mer
آرزو ایک طرف دل سے جدا ہوتی ہے,aarz ek taraf dil se jud hot hai
پھر بھی ترا شباب ترا ہی شباب ہے,phir bh tir shabb tir h shabb hai
ساقی سنبھالنا کہ ہے لبریز جام مے,saaq sambhln ki hai labrez jmemai
سمجھی نہ باد صبح کہ آ کر اٹھا دیا,samjh na baad subh ki aa kar uth diy
ہم نے خود اپنے پاؤں میں کانٹے چبھو لیے,ham ne hud apne paav me kte chubho liye
پایا سر ہر ذرہ جگر گوشۂ وحشت,paay sareharzarra jigargoshaevahshat
نہ ہو جب دل ہی سینے میں تو پھر منہ میں زباں کیوں ہو,na ho jab dil h siine me to phir muh me zab kyuu ho
وہ بھی چڑھتے ہوئے سورج کے پجاری نکلے,vo bh chahte hue sraj ke pujr nikle
کہ مجھ سے آج کوئی بد گماں نہیں ہوتا,ki mujh se aaj ko badgum nah hot
کیسے لکھوں میں چاند کے قصے کیسے لکھوں میں پھول کی بات,kaise likh mai chd ke qisse kaise likh mai phuul k baat
مرد جو عاجز ہو تن من سیں کہے خوش آمد باور کر,mard jo aajiz ho tan man sii kahe hushmad bvar kar
یہ مری خوبیٔ قسمت کہ وہ زنداں ہو جائے,ye mir hbeqismat ki vo zind ho jaae
جان اس کے تن کے آگے آتی نہیں نظر میں,jaan us ke tan ke aage aat nah nazar me
وہ کوچہ روکش جنت ہو گھر ہے گھر پھر بھی,vo kcha rkashejannat ho ghar hai ghar phir bh
ہمیں سے آپ کا شہرا ہوا ہے,ham se aap k shohr hu hai
وہ وقت نہ آئے کہ دل زار بھی سوچے,vo vaqt na aae ki dilezr bh soche
تیرا ہی عکس رخ سہی سامنے تیرے آئے کیوں,ter h akseruh sah smne tere aae kyuu
ہمیں معلوم ہے ہم سے سنو محشر میں کیا ہوگا,hame maalm hai ham se suno mahshar me ky hog
دو قدم مجھ سے بھی آگے مری رسوائی ہے,doqadam mujh se bh aage mir rusv hai
یہ خراباتیان خرد باختہ,ye harbtiynehiradbhta
ہوا اس سرو قد سوں ہم کنار آہستہ آہستہ,hu us sarvqad suu hamkanr histahista
دیر سے گونجتے ہیں سناٹے,der se gjte hai sannte
بزم ہستی اپنی آرائش پہ تو نازاں نہ ہو,bazmehast apn rish pe t nz na ho
یہ نکہتوں کی نرم روی یہ ہوا یہ رات,ye nikhato k narmrav ye hav ye raat
شغل ارباب ہنر پوچھتے کیا ہو کہ یہ لوگ,shahlearbbehunar pchhte ky ho ki ye log
ختم خوش فہمی کی منزل کا سفر بھی ہو گیا,hatm hushfahm k manzil k safar bh ho gay
نہ خوشی دے تو کچھ دلاسہ دے,na hush de to kuchh dilsa de
چشم دل کھول اس بھی عالم پر,chashmedil khol is bh aalam par
کھو دیا سطوت اسماۓ جلالی نے مجھے,kho diy satvateasmejall ne mujhe
ناصحا یہ بحث دیوانوں کے ساتھ,nseh ye bahs dvno ke saath
انجیل رفتگاں کی حدیثوں کے ساتھ ہوں,injleraftag k hadso ke saath huu
وہ گلوں میں گلوں کی سی بو نہ رہی وہ عزیزوں میں لطف کی خو نہ رہی,vo gulo me gulo k s b na rah vo azzo me lutf k h na rah
نالہ کر لینے دیں للہ نہ چھیڑیں احباب,naala kar lene de lillh na chhee ahbb
دیکھیے آج یاد آئے کون,dekhiye aaj yaad aae kaun
تم سے مل کر بہت خوشی ہو کیا,tum se mil kar bahut hush ho ky
نہیں جز گریۂ غم حاصل عشق,nah juz giryaeham hsileishq
ایسے ناداں بھی نہ تھے جاں سے گزرنے والے,aise nd bh na the jaa se guzarne vaale
مانند آرسی کے جو صاف اعتقاد ہے,mnind ras ke jo saaf etiqd hai
یا صبح دم جو دیکھیے آ کر تو بزم میں,y subhdam jo dekhiye aa kar to bazm me
رو سوئے قبلہ وقت مناجات چاہیے,r seqibla vaqtemunjt chhiye
بچا لیا ہرزگی سے اس نے لحاظ ناموس و ننگ ہو کر,bach liy harzag se us ne lihzenmsonag ho kar
نہ تیرا گھر ہے خطرے میں نہ میرا گھر ہے خطرے میں,na ter ghar hai hatre me na mer ghar hai hatre me
میں بچ بھی جاؤں تو تنہائی مار ڈالے گی,mai bach bh j to tanh maar dleg
تو خدا ہے نہ مرا عشق فرشتوں جیسا,t hud hai na mir ishq farishto jais
تا کجا ضبط محبت تا کجا درد فراق,tkuj zabtemohabbat tkuj dardefirq
رحمان کی رحمت ہو کہ بھگوان کی مورت,rahmn k rahmat ho ki bhagvn k mrat
ماں سے کیا کہیں گی دکھ ہجر کا کہ خود پر بھی,maa se ky kaheg dukh hijr k ki hud par bh
کر دیا ضعف نے عاجز غالبؔ,kar diy zoaf ne aajiz hlib
یہ اشک جو پیتے جا رہے ہو,ye ashk jo piite j rahe ho
آئے تاریخ عشق میں سو بار,aae trheishq me sau baar
دیر نہ کرنا گھر آنے میں ورنہ گھر کھو جائیں گے,der na karn ghar aane me varna ghar kho jege
کسی کے دھیان میں ڈوبا ہوا دل,kis ke dhyn me duub hu dil
معصومئ جمال کو بھی جن پہ رشک ہے,msmiejaml ko bh jin pe rashk hai
وہ آویں گے مرے گھر وعدہ کیسا دیکھنا غالبؔ,vo vege mire ghar vaada kais dekhn hlib
غریب اکبر کے گرد کیوں میں خیال واعظ سے کوئی کہہ دے,harb akbar ke gard kyuu me hayl vaaiz se ko kah de
جینے پر محصول,jiine par mahsl
دیکھتا بھالتا ہر شاخ کو صیاد آیا,dekht bhlt har shh ko sayyd aay
غافل ان مہ طلعتوں کے واسطے,hfil in mahtalato ke vste
یوں بھی نہ کر سکو تو پھر گھر میں خدا خدا کرو,yuu bh na kar sako to phir ghar me hud hud karo
غنچۂ ناشگفتہ کو دور سے مت دکھا کہ یوں,hunchaenshagufta ko duur se mat dikh ki yuu
چشمک آرائی صد شہر چراغاں مجھ سے,chashmakriesadshahr charh mujh se
مری سمت سے اسے اے صبا یہ پیام آخر غم سنا,mir samt se use ai sab ye paymehireham sun
نہیں گر ہمدمی آساں نہ ہو یہ رشک کیا کم ہے,nah gar hamdam s na ho ye rashk ky kam hai
میں نے سونپا تھا تجھے اک کام ساری عمر میں,mai ne saup th tujhe ik kaam saar umr me
نہ آئی سطوت قاتل بھی مانع میرے نالوں کو,na aa satvateqtil bh maane mere nlo ko
صبح تک ہجر میں کیا جانیے کیا ہوتا ہے,subh tak hijr me ky jniye ky hot hai
اٹھ کے جانا نظر نہیں آتا,uth ke jaan nazar nah aat
خود میں خود اپنا طور کوئی دم ملے تمہیں,hud me hud apn taur ko dam mile tumhe
شیخ کا دھرم اور دین برہمن آزاد ہے,shaih k dharm aur dnebarhaman zd hai
کی مری قدر مثل شاہ دکن,k mir qadr misleshhedakan
تنگ آ چکے ہیں کشمکش زندگی سے ہم,tag aa chuke hai kashmakashezindag se ham
حناۓ پنجۂ صیاد مرغ رشتہ بر پا ہے,hinepanjaesaiyyd murherishta barp hai
ہزار بار رقیبوں کو ہمکنار کیا,hazr baar raqbo ko hamkanr kiy
ہم لوگ تو اکتا گئے اپنی سنا آوارگی,ham log to ukt gae apn sun vrg
درد منداں کوں کڑھایا نہ کرو,dardmand kuu kuhy na karo
اپنی اپنی تاریکی کو لوگ اجالا کہتے ہیں,apn apn trk ko log ujl kahte hai
تو جدھر ہو کے گزر جائے خبر لگتا ہے,t jidhar ho ke guzar jaae habar lagt hai
بد وضعیوں کو اپنی محمود جانتے ہیں,badvaziyo ko apn mahmd jnte hai
عشق کی لو سے فرشتوں کے بھی پر جلتے ہیں,ishq k lau se farishto ke bh par jalte hai
جتنے چراغ ہیں تری محفل سے آئے ہیں,jitne charh hai tir mahfil se aae hai
بہ قدر حسرت دل چاہیے ذوق معاصی بھی,baqadrehasratedil chhiye zauqemas bh
کہ موج بوئے گل سے ناک میں آتا ہے دم میرا,ki maujebegul se naak me aat hai dam mer
پر خون بھی میں ہی تھوکتا ہوں,par huun bh mai h thkt huu
ولولہ تجھ میں یہ اے مرغ چمن کس کا ہے,valvala tujh me ye ai murhechaman kis k hai
کچھ یاد جزیرے ہیں کہ اوجھل نہیں ہوتے,kuchh ydjazre hai ki ojhal nah hote
ہم پہ غیروں کو تو ظالم نہ ہنسانا ہرگز,ham pe hairo ko to zlim na hasn hargiz
دی سزا عشق نے ہر جرم و خطا سے پہلے,d saz ishq ne har jurmohat se pahle
دراز دستی قاتل کے امتحاں کے لیے,darzdastieqtil ke imtih ke liye
اپنی مدد کو ہمت مردانہ ساتھ ہے,apn madad ko himmatemardna saath hai
وہ درد جو چہروں سے ادا ہو نہیں سکتا,vo dard jo chehro se ad ho nah sakt
جا کے کہسار سے سر مارو کہ آواز تو ہو,j ke kohsr se sar maaro ki vz to ho
گل ہمہ تن زخم ہیں پھر بھی ہمہ تن گوش ہیں,gul hamatanzahm hai phir bh hamatangosh hai
اک واقعہ سا یاد دلا کر چلے گئے,ik vqia s yaad dil kar chale gae
یہ دنیا ہماری تمہاری لگے,ye duniy hamr tumhr lage
نازکی اس کے لب کی کیا کہیے,nzuk us ke lab k ky kahiye
عذاب دے گا تو پھر مجھ کو خواب بھی دے گا,azaab deg to phir mujh ko hvb bh deg
میں اندر سے بہت ٹوٹا ہوا ہوں,mai andar se bahut tuut hu huu
اس میں ہمارے سر پہ قیامت ہی کیوں نہ ہو,us me hamre sar pe qaymat h kyuu na ho
ہم صفیروں میں ہم نشینوں میں,hamsafro me hamnashno me
پوچھا کسی نے حال کچھ ایسی ادا کے ساتھ,pchh kis ne haal kuchh ais ad ke saath
اس پیر زال دہر کی ہم ٹھوکروں میں ہیں,us przledahr k ham thokaro me hai
ایک ہی فن تو ہم نے سیکھا ہے,ek h fan to ham ne skh hai
رات اب حریف صبح قیامت ہی کیوں نہ ہو,raat ab harfesubheqaymat h kyuu na ho
غضب ہے داغؔ کے دل سے تمہارا دل نہیں ملتا,hazab hai dh ke dil se tumhr dil nah milt
ہے صاعقہ و شعلہ و سیماب کا عالم,hai siqa o shoala o smb k aalam
ایک جھونکا تھا کہ خوشبو کے سفر پر نکلا,ek jhok th ki hushb ke safar par nikl
سوچ کر اس کی خلوت انجمنی,soch kar us k halvatanjuman
جس کے آغوش کا ہوں دیوانہ,jis ke hosh k huu dvna
کیا کریں وہ سنانے کو پیار کی باتیں,kiy kare vo sunne ko pyaar k bte
اشک خونیں سوں جو کیا ہے وضو,ashk hn suu jo kiy hai vaz
وہ سامنے ہے اور نظر سے چھپا دیا,vo smne hai aur nazar se chhup diy
سائے سے مگر اس کو محبت بھی بہت تھی,saae se magar us ko mohabbat bh bahut th
یہ عقل و دل ہیں شرر شعلۂ محبت کے,ye aql o dil hai sharar sholaemohabbat ke
اپنے ہی پاؤں میں زنجیر پڑی ہو جیسے,apne h paav me zanjr pa ho jaise
اپنا بنا نہ لے کہیں میری نظر مجھے,apn ban na le kah mer nazar mujhe
تم حسن کی خود اک دنیا ہو شاید یہ تمہیں معلوم نہیں,tum husn k hud ik duniy ho shyad ye tumhe mlm nah
لطف وہ عشق میں پائے ہیں کہ جی جانتا ہے,lutf vo ishq me paae hai ki j jnt hai
ہاں ترک مے و شاہد یہ ان کی بزرگی ہے,haa tarkemaioshhid ye un k buzurg hai
ہم خاک میں ملے تو ملے لیکن اے سپہر,ham haak me mile to mile lekin ai siphar
نہیں ترک محبت پر وہ راضی,nah tarkemohabbat par vo raaz
تجھ کو خود پہ تھا اعتماد اتنا,tujh ko hud pe th etimd itn
اے عشق ہم تو اب ترے قابل نہیں رہے,ai ishq ham to ab tire qbil nah rahe
دو اور دو کا جوڑ ہمیشہ چار کہاں ہوتا ہے,do aur do k jo hamesha chaar kah hot hai
گفتگو تجھ سے رہا کرتی ہے,guftug tujh se rah kart hai
یہ کہہ کے کل کوئی بے اختیار روتا تھا,ye kah ke kal ko beihtiyr rot th
پیالہ گر نہیں دیتا نہ دے شراب تو دے,piyla gar nah det na de sharb to de
ٹوٹا پھوٹا لگتا ہوں,tuut pht lagt huu
شعر و شباب و حسن کا دریا بہا گیا,sher o shabb o husn k dariy bah gay
کل تک تو اس میں ایسی کرامت نہ تھی کوئی,kal tak to us me ais karmat na th ko
سانس کی ترکیب پر مٹی کو پیار آ ہی گیا,saas k tarkb par mitt ko pyaar aa h gay
تم سے تھے جتنے استعارے تھے,tum se the jitne istire the
گرچہ ہے طرز تغافل پردہ دار راز عشق,garche hai tarzetahful pardadrerzeishq
یہ کوئی یاد ہے یہ بھی ہے کوئی محویت,ye ko yaad hai ye bh hai ko mahviyyat
میں وہ رونے والا جہاں سے چلا ہوں,mai vo rone vaal jah se chal huu
جو اشک ہے آنکھوں میں تسبیح کا دانا ہے,jo ashk hai kho me tasbh k daan hai
اگر نہ ہو کہیں ایسا تو احتجاج بھی ہو,agar na ho kah ais to ehtijj bh ho
نہ دائم غم ہے نے عشرت کبھی یوں ہے کبھی ووں ہے,na daaim ham hai ne ishrat kabh yuu hai kabh vuu hai
جو ستائش کو بھی گلہ جانے,jo satish ko bh gila jaane
ہم نے وہ زندگی گزاری ہے,ham ne vo zindag guzr hai
جگ کے ادا شناساں ہے جن کی فکر عالی,jag ke adshans hai jin k fikr aal
مکیں ادھر کے بھی جلوے ادھر کے دیکھتے ہیں,mak udhar ke bh jalve idhar ke dekhte hai
اے قاتلوں کے شہر بس اتنی ہی عرض ہے,ai qtilo ke shahr bas itn h arz hai
پیتا ہوں دھوکے خسرو شیریں سخن کے پاؤں,piit huu dhoke husraveshrsuhan ke paav
ترا آنا نہ تھا ظالم مگر تمہید جانے کی,tir aan na th zlim magar tamhd jaane k
اشک آنکھ میں پھر اٹک رہا ہے,ashk aakh me phir atak rah hai
نکھرتا آ رہا ہے رنگ گلشن,nikhart aa rah hai ragegulshan
چشم کشادہ حلقۂ بیرون در ہے آج,chashmekushda halqaebairnedar hai aaj
میں قطرہ قطرہ اسی کی آنکھوں کو پی رہا ہوں,mai qatra qatra us k kho ko p rah huu
تو یہ شیشے سا بدن لے کے کہاں آ گئی دوست,t ye shshe s badan le ke kah aa ga dost
ہر اک سوال کا ہم بھی جواب سمجھے ہیں,har ik savl k ham bh javb samjhe hai
یہ صبا سی کہاں سے آتی ہے,ye sab s kah se aat hai
کھلا مجھ پر کہ میری خوش نصیبی,khul mujh par ki mer hushnasb
ہر ایک ذرے کو ہم آفتاب سمجھے ہیں,har ek zarre ko ham ftb samjhe hai
محبت تھی چمن سے لیکن اب یہ بے دماغی ہے,mohabbat th chaman se lekin ab ye bedimh hai
دل کا دکھ جانا تو دل کا مسئلہ ہے پر ہمیں,dil k dukh jaan to dil k masala hai par hame
بعد مدت کے یہ اے داغؔ سمجھ میں آیا,baad muddat ke ye ai dh samajh me aay
تنہائی فراق کے قربان جائیے,tanhefirq ke qurbn jiye
بڑھتی چلی جاتی ہے تعداد اماموں کی,baht chal jaat hai taadd immo k
اٹھائے جائیں جہاں ہاتھ ایسے جلسے میں,uthe jaae jah haath aise jalse me
غیر کی منت نہ کھینچوں گا پے توفیر درد,hair k minnat na khchg paietaufredard
مری آوارگی بھی اک کرشمہ ہے زمانے میں,mir vrg bh ik karishma hai zamne me
شانۂ روزگار پر نار گراں ہے تو کہ میں,shnaerozgr par bregir hai t ki mai
بات لگتی ہوئی لہجہ وہ مکرنے والا,baat lagt hu lahja vo mukarne vaal
مگر شہزادۂ گلفام پر شیدا نہیں ہوتیں,magar shahzdaegulfm par shaid nah hot
آنکھ کھل جائے تو تنہائی کا صحرا دیکھوں,aakh khul jaae to tanh k sahr dekh
میں بت تراش اپنی شکستوں کے ساتھ ہوں,mai buttarsh apn shikasto ke saath huu
پھر خموشی نے ساز چھیڑا ہے,phir hamosh ne saaz chhe hai
اتنا تو لے کوئی اثر دور کائنات,itn to le ko asaredaurkent
کب تک تظلم آہ بھلا مرگ کے تئیں,kab tak tazallum aah bhal marg ke taii
جھوٹ والے کہیں سے کہیں بڑھ گئے,jhuut vaale kah se kah bah gae
دفن ہوگا کہیں اتنا نہ خزانہ ہرگز,dafn hog kah itn na hazna hargiz
باغ میں وہ خواب آور عالم موج صبا کے اشاروں پر,baah me vo hvbvar aalam maujesab ke ishro par
اشک غم ہیں کہ ماہ پارے ہیں,ashkeham hai ki mhpre hai
حیات و موت کے ملتے نہیں ہیں آج دماغ,hayt o maut ke milte nah hai aaj dimh
یہ بازی تو سو بسوے ہر جائے گی,ye baaz to so bisve har jeg
